step,CARD_1,CARD_2,CARD_3,CARD_4,CARD_5
0,CENTER,TOP_LEFT,TOP_RIGHT,BOTTOM_LEFT,BOTTOM_RIGHT
1,TOP_LEFT,CENTER,TOP_RIGHT,BOTTOM_LEFT,BOTTOM_RIGHT
2,TOP_LEFT,TOP_RIGHT,CENTER,BOTTOM_LEFT,BOTTOM_RIGHT
3,TOP_LEFT,TOP_RIGHT,BOTTOM_LEFT,CENTER,BOTTOM_RIGHT
4,TOP_LEFT,TOP_RIGHT,BOTTOM_LEFT,BOTTOM_RIGHT,CENTER
5,CENTER,TOP_RIGHT,BOTTOM_LEFT,BOTTOM_RIGHT,TOP_LEFT
6,TOP_RIGHT,CENTER,BOTTOM_LEFT,BOTTOM_RIGHT,TOP_LEFT
7,TOP_RIGHT,BOTTOM_LEFT,CENTER,BOTTOM_RIGHT,TOP_LEFT
8,TOP_RIGHT,BOTTOM_LEFT,BOTTOM_RIGHT,CENTER,TOP_LEFT
9,TOP_RIGHT,BOTTOM_LEFT,BOTTOM_RIGHT,TOP_LEFT,CENTER
10,CENTER,BOTTOM_LEFT,BOTTOM_RIGHT,TOP_LEFT,TOP_RIGHT
